group,egf1r,rpl19,delta_ct,delta_delta_ct,fold_change
control,25.6,17.5,-8.100000000000001,0.4664999999999999,1.38175324435278
control,25.8,16.9,-8.900000000000002,-0.3335000000000008,0.7936088393999269
control,26.0,17.4,-8.600000000000001,-0.033500000000000085,0.9770470890083633
control,25.4,17.7,-7.699999999999999,0.866500000000002,1.823234336659608
control,25.45,17.2,-8.25,0.31650000000000134,1.2453057506869598
control,25.959,17.2,-8.759,-0.192499999999999,0.8750879947452099
control,25.908,17.7,-8.208000000000002,0.3584999999999994,1.2820921864630872
control,26.112,17.5,-8.611999999999998,-0.04549999999999699,0.9689539448887424
control,26.31600000000001,16.9,-9.416000000000011,-0.8495000000000097,0.5549770430940678
control,26.52,17.4,-9.120000000000001,-0.5534999999999997,0.681365119560258
trt_a,25.19400000000001,17.9,-7.294000000000011,1.2724999999999902,2.415798289791725
trt_a,25.398000000000003,17.3,-8.098000000000003,0.4684999999999988,1.3836700894326623
trt_a,24.3,17.4,-6.900000000000002,1.6664999999999992,3.1744353575997075
trt_a,24.5,17.3,-7.199999999999999,1.366500000000002,2.578442726288331
trt_a,24.7,17.9,-6.800000000000001,1.7665000000000006,3.402275574812278
trt_a,24.9,17.3,-7.599999999999998,0.9665000000000035,1.9540941780167316
trt_a,24.99,17.3,-7.689999999999998,0.8765000000000036,1.8359159343533744
trt_a,24.785999999999998,17.4,-7.385999999999999,1.180500000000002,2.2665531619526855
trt_b,25.94982000000001,17.989499999999996,-7.960320000000014,0.6061799999999877,1.5222232914527358
trt_b,26.15994,17.386499999999998,-8.77344,-0.20693999999999946,0.8663728870862852
trt_b,25.029,17.487000000000002,-7.541999999999998,1.0245000000000033,2.0342542432241983
trt_b,25.235,17.386499999999998,-7.848500000000001,0.718,1.6449001374249286
trt_b,25.441,17.989499999999996,-7.451500000000003,1.1149999999999984,2.165950091051847
trt_b,25.647,17.386499999999998,-8.2605,0.30600000000000094,1.2362752609209522
trt_b,25.7397,17.386499999999998,-8.353200000000001,0.21330000000000027,1.159337004193613
trt_b,25.529580000000006,17.487000000000002,-8.042580000000005,0.5239199999999968,1.437856798925383
